1#央视,#genre#
CCTV1,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN111128BESTVSMGSMG/index.m3u8?m3u8_level=2
CCTV2,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN5000036BESTVSMGSMG/index.m3u8?m3u8_level=2
CCTV3,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638727c125355/index.m3u8?m3u8_level=2
CCTV4,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN5000037BESTVSMGSMG/index.m3u8?m3u8_level=2
CCTV5,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638727e617ca0/index.m3u8?m3u8_level=2
CCTV5+,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN63872908d48f9/index.m3u8?m3u8_level=2
CCTV6,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638728804b1f9/index.m3u8?m3u8_level=2
CCTV7,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN5000038BESTVSMGSMG/index.m3u8?m3u8_level=2
CCTV8,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638728970aa82/index.m3u8?m3u8_level=2
CCTV9,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN5000039BESTVSMGSMG/index.m3u8?m3u8_level=2
CCTV10,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN3949784BESTVSMGSMG/index.m3u8?m3u8_level=2
CCTV11,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN6000053BESTVSMGSMG/index.m3u8?m3u8_level=2
CCTV12,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN5000040BESTVSMGSMG/index.m3u8?m3u8_level=2
CCTV13,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN6000054BESTVSMGSMG/index.m3u8?m3u8_level=2
CCTV14,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN3949788BESTVSMGSMG/index.m3u8?m3u8_level=2
CCTV15,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN6000055BESTVSMGSMG/index.m3u8?m3u8_level=2
CCTV17,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638728afa13b4/index.m3u8?m3u8_level=2
CCTV4K,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN6604ddd5cf779/index.m3u8?m3u8_level=2
CCTV风云足球,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638077160c04a/index.m3u8?m3u8_level=2
CCTV高尔夫网球,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN63807743b61bb/index.m3u8?m3u8_level=2
CCTV央视台球,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN6380775932cff/index.m3u8?m3u8_level=2
CCTV兵器科技,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638077907bdcd/index.m3u8?m3u8_level=2
CCTV世界地理,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638077a61f4f3/index.m3u8?m3u8_level=2
CCTV第一剧场,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638077f5ca035/index.m3u8?m3u8_level=2
CCTV风云音乐,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN63807810519fb/index.m3u8?m3u8_level=2
CCTV怀旧剧场,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN6380783f9a29a/index.m3u8?m3u8_level=2
CCTV电视指南,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638078586a829/index.m3u8?m3u8_level=2
CCTV女性时尚,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638078715ba68/index.m3u8?m3u8_level=2
CHC动作电影,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN6380763222d00/index.m3u8?m3u8_level=2
CHC高清电影,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN6380764b172c9/index.m3u8?m3u8_level=2
CHC家庭影院,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN63807601b19dd/index.m3u8?m3u8_level=2
2#湖北,#genre#
湖北卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN911989BESTVSMGSMG/index.m3u8?m3u8_level=2
湖北公共新闻,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN6380726d0ee3b/index.m3u8?m3u8_level=2
湖北教育,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638072a6cbbf6/index.m3u8?m3u8_level=2
湖北经视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN63807203543e3/index.m3u8?m3u8_level=2
湖北垄上,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638072463c333/index.m3u8?m3u8_level=2
湖北生活,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638072c62e405/index.m3u8?m3u8_level=2
湖北影视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN6380728abccd2/index.m3u8?m3u8_level=2
湖北综合,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638072216f7da/index.m3u8?m3u8_level=2
3#卫视,#genre#
湖南卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN181358BESTVSMGSMG9/index.m3u8?m3u8_level=2
浙江卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN111130BESTVSMGSMG/index.m3u8?m3u8_level=2
江苏卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN111129BESTVSMGSMG/index.m3u8?m3u8_level=2
东方卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN111131BESTVSMGSMG/index.m3u8?m3u8_level=2
安徽卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN3540416BESTVSMGSMG/index.m3u8?m3u8_level=2
